chromosome	start	end	cn	cn1	cn2
1	12080	30542	1	1	0
1	31042	35492	2		
1	35565	103698	3	3	0
1	103698	176917	0	0	0
1	228399	326008	3		
1	326072	620555	2		
1	621055	915021	2	2	0
1	915023	949921	3	2	1
1	950421	1189369	2	2	0
1	1189869	1217020	3	3	0
1	1217438	1275238	2	2	0
1	1275468	1289875	2	2	0
1	1292002	1337402	3	3	0
1	1337432	1431600	2	2	0
1	1432100	1471140	2	2	0
1	1471640	1480890	2	2	0
1	1481156	1509290	3	3	0
1	1510410	1558159	2	2	0
1	1558659	1577357	2	2	0
1	1577626	1646241	3	3	0
1	1646243	1684296	3	3	0
1	1684312	1709199	3	3	0
1	1711338	1770080	3	3	0
1	1770580	2398370	2	1	1
1	2399820	2452356	2	1	1
1	2452601	2540950	2	1	1
1	2541101	2937494	2	1	1
1	2937994	3064267	2	1	1
1	3064267	3331250	2	1	1
1	3331750	3370484	3	3	0
1	3371895	3407584	2	2	0
1	3409056	3418554	1	1	0
1	3419054	3511413	2	1	1
1	3511913	3564173	2	2	0
1	3566442	3643795	2	2	0
1	3644156	4570615	2	2	0
1	4570615	5927292	2	1	1
1	5927834	5966004	1	1	0
1	5967185	6279546	1	1	0
1	6280136	6303663	2		
1	6304163	6393748	2	2	0
1	6394248	6478163	2	1	1
1	6478168	6761943	2	2	0
1	6762443	6880398	2	1	1
1	6885142	7997863	2	2	0
1	7998198	8022183	3	2	1
1	8022813	8141370	2	1	1
1	8141370	8385688	2	2	0
1	8385837	8554347	2	1	1
1	8554847	9034839	2	2	0
1	9034850	9326280	2	2	0
1	9326283	9616466	2	2	0
1	9616966	9850362	2	2	0
1	9850362	9938078	2	1	1
1	9938133	10315792	2	2	0
1	10316292	10327772	2	2	0
1	10328133	10820946	2	2	0
1	10821446	11015276	2	2	0
1	11016930	11198909	2	2	0
1	11199409	11258715	2	1	1
1	11259215	11315591	2		
1	11316091	11347655	2	1	1
1	11347977	11982680	2	1	1
1	11982728	12026403	2	2	0
