chromosome	start	end	cn	cn1	cn2
1	12080	18411	3	3	0
1	18963	120317	1	1	0
1	120817	388254	2	2	0
1	388254	663550	3	3	0
1	663614	866507	2	2	0
1	867007	980969	1	1	0
1	981063	1078219	2	2	0
1	1078222	1119537	1	1	0
1	1120323	1149611	0	0	0
1	1150111	1249494	1	1	0
1	1249581	1267460	0	0	0
1	1267460	1321396	1	1	0
1	1321896	1376190	0	0	0
1	1376195	1403261	1	1	0
1	1403761	6206480	0	0	0
1	6206679	6218920	1	1	0
1	6219420	8268452	0	0	0
1	8268452	8403281	1	1	0
1	8403781	8832682	0	0	0
1	8832682	8928058	1	1	0
1	8928063	9079413	0	0	0
1	9079913	9160870	1	1	0
1	9161385	9411651	0	0	0
1	9412151	9616466	1	1	0
1	9616966	11269419	0	0	0
1	11269424	11294388	1	1	0
1	11294888	11428927	0	0	0
1	11428927	11634703	1	1	0
1	11634703	11826910	0	0	0
1	11826913	11836815	1	1	0
1	11837315	12008291	0	0	0
1	12009847	12027172	1	1	0
1	12027672	12955630	0	0	0
1	12956130	13000342	1	1	0
1	13000842	13109425	2	2	0
1	13109925	13183943	1	1	0
1	13184443	13411812	2	2	0
1	13412218	13802754	1	1	0
1	13803254	15214108	0	0	0
1	15214108	15622560	1	1	0
1	15623060	15679489	0	0	0
1	15679989	15764339	1	1	0
1	15764839	15778936	2	2	0
1	15779436	16342233	1	1	0
1	16343496	16358794	0	0	0
1	16358876	16531690	1	1	0
1	16531841	16555463	0	0	0
1	16555972	16862680	1	1	0
1	16863203	16974415	0	0	0
1	16974462	16999847	2	2	0
1	16999854	17033227	2	2	0
1	17035060	17262530	1	1	0
1	17263030	17273540	0	0	0
1	17275308	19410520	1	1	0
1	19411020	19423223	0	0	0
1	19423687	19448514	1	1	0
1	19449171	19473647	2	2	0
1	19474271	19704447	1	1	0
1	19704947	19933945	0	0	0
1	19934445	20006073	1	1	0
1	20006573	20073989	2	2	0
1	20074489	20220989	1	1	0
1	20223966	20237020	2		
1	20237020	20306254	1	1	0
1	20306760	20412685	2	2	0
1	20412690	20488882	1	1	0
1	20488887	20518709	2	2	0
1	20518713	20654684	1	1	0
1	20655184	20669214	2	2	0
1	20669410	21011703	1	1	0
1	21012334	21041498	2	2	0
1	21041998	21053605	1	1	0
1	21053876	21081927	0	0	0
1	21083567	21132500	1	1	0
1	21133255	21155815	2	2	0
1	21156315	21191269	1	1	0
1	21191286	21268410	2	2	0
1	21268415	21755265	1	1	0
1	21755454	21904105	2	2	0
1	21904151	21945597	1	1	0
1	21946438	22004556	2	2	0
1	22005056	22046998	1	1	0
1	22047498	22077490	2	2	0
1	22077990	22203170	2	2	0
1	22203670	22304592	2	2	0
1	22304801	22417332	1	1	0
1	22417794	22453011	0	0	0
1	22453511	22592179	1	1	0
1	22592679	22817180	2	2	0
1	22817916	22902828	1	1	0
1	22902830	23101754	2	2	0
1	23101757	23539882	1	1	0
1	23539882	23645238	2	2	0
1	23648032	23755206	1	1	0
1	23755211	23768812	2	2	0
1	23768918	23884899	1	1	0
1	23885246	23967178	0	0	0
1	23967678	24144076	1	1	0
1	24144576	24180321	2	2	0
1	24180821	24397066	1	1	0
1	24397566	24416683	2	2	0
1	24417223	24482620	1	1	0
1	24482620	24507328	2	2	0
1	24507828	24705215	1	1	0
1	24705715	24767977	0	0	0
1	24768477	24995958	1	1	0
1	24995995	25170052	2	2	0
1	25171366	25530659	1	1	0
1	25530659	25550957	1		
1	25551457	25568233	1		
1	25568733	25683363	0	0	0
1	25683863	25710600	0	0	0
1	25711100	25712301	1		
1	25712801	25735411	2	2	0
1	25735911	25815788	2	2	0
1	25817865	26138027	1	1	0
1	26138131	26153430	0	0	0
1	26153930	26369162	1	1	0
1	26369881	26386239	2	2	0
1	26386739	26507076	1	1	0
1	26507080	26517912	2	2	0
1	26518412	26570029	1	1	0
1	26570529	26594387	2	2	0
1	26594887	26612056	1	1	0
1	26612352	26632559	1	1	0
1	26633059	26970598	1	1	0
1	26970598	27100903	2	2	0
1	27100907	27212706	1	1	0
1	27212810	27226559	0	0	0
1	27226562	27256174	1	1	0
1	27256674	27286252	2	2	0
1	27287480	27481385	1	1	0
1	27481885	27628199	2	2	0
1	27628699	27860051	1	1	0
1	27860551	27885435	2	2	0
1	27885935	27977171	1	1	0
1	27977171	28053994	0	0	0
1	28053997	28081849	1	1	0
1	28082349	28146337	2	2	0
1	28148747	28943879	1	1	0
1	28944379	29030885	2	2	0
1	29031385	29295513	1	1	0
1	29295513	29342525	2	2	0
1	29344688	29391802	1	1	0
1	29392302	29522908	2	2	0
1	29523408	29562600	1	1	0
1	29563849	29606662	3	2	1
1	29607162	29651886	3	2	1
1	29652007	31188182	2	2	0
1	31188514	31208123	1	1	0
1	31208623	31532511	2	2	0
1	31533011	31652089	3	3	0
1	31652589	31753739	8	8	0
1	31754239	31821270	3	3	0
1	31821770	32095999	7	7	0
1	32096102	32126794	6	5	1
1	32126966	33794730	9	9	0
1	33795664	34208280	3	3	0
1	34208780	36903767	8	8	0
1	36904267	36927095	5	4	1
1	36927672	42112874	10	10	0
1	42112874	42438768	6	6	0
1	42438768	42913679	8	6	2
1	42914179	42938306	3		
1	42938806	43218551	8	8	0
1	43219051	43233378	6	6	0
1	43233878	43309883	8	8	0
1	43309887	43318167	3	3	0
1	43318667	45274464	8	8	0
1	45274465	45287620	3	3	0
1	45287648	48631589	9	9	0
1	48631589	49874183	5	5	0
1	49874183	50072362	7		
1	50072362	50609540	6	6	0
1	50610040	54511469	8	8	0
1	54512949	54554432	6		
1	54554932	54652811	7	7	0
1	54653311	54694130	6	6	0
1	54694490	59001683	8	8	0
1	59002183	59119918	3	3	0
1	59121224	59165047	8	8	0
1	59165547	59978047	6	6	0
1	59978048	61849028	7	7	0
1	61849528	61920431	3	3	0
1	61920931	62019528	3	3	0
1	62019528	62712583	3	3	0
1	62713083	62766090	3	3	0
1	62766090	62944812	3	3	0
1	62945933	62973731	7	7	0
1	62976232	63119569	3	3	0
1	63119657	63285000	2	2	0
1	63286678	64020484	3	3	0
1	64020984	64095784	3	3	0
1	64097336	64125893	3	3	0
1	64126393	64402424	3	3	0
1	64402424	65107667	3	3	0
1	65107691	65129491	3	3	0
1	65130117	65301955	3	3	0
1	65303590	65729846	3	3	0
1	65730346	65860754	3	3	0
1	65861254	65901030	2	2	0
1	65901321	66458249	3	3	0
1	66458254	66656318	2	2	0
1	66656318	66831498	1	1	0
1	66833395	67133125	2	2	0
1	67133131	67159565	3	3	0
1	67160065	67262942	2	2	0
1	67263442	67372736	5	4	1
1	67373236	67405117	1	1	0
1	67405617	67561885	3	3	0
1	67562572	67635349	3	3	0
1	67635849	67791876	3	3	0
1	67792376	68132125	3	3	0
1	68132125	68208253	1	1	0
1	68208253	68387744	2	2	0
1	68387744	68602965	3	3	0
1	68603465	68618650	3	3	0
1	68619150	69598235	3	3	0
1	69598235	69834030	2		
1	69834030	70143529	3	3	0
1	70144029	70385125	2	1	1
1	70385130	70644018	6	6	0
1	70644518	70653146	3		
1	70654781	70696878	1	1	0
1	70697199	70728527	2	2	0
1	70729027	70765936	3		
1	70766436	70887422	2	2	0
1	70889911	70977365	3	3	0
1	70977365	71318591	2	2	0
1	71319091	71761217	3	3	0
1	71761217	71872702	7	7	0
1	71872704	72456122	6	6	0
1	72456122	72656393	2		
1	72656393	72984712	5	5	0
1	72984712	73874065	2	2	0
1	73874065	74671327	3	3	0
1	74671327	74833720	3	3	0
1	74834647	75171946	3	3	0
1	75171991	75575586	2	2	0
1	75575586	76198492	3	3	0
1	76198494	76216253	3	3	0
1	76216753	76253657	1	1	0
1	76254829	76261031	3	3	0
1	76262444	76398196	3	3	0
1	76398696	76522238	2		
1	76522238	76608717	2	2	0
1	76609217	76770989	1		
1	76771489	77332576	3	3	0
1	77333076	77515406	3	3	0
1	77515906	77706227	3	3	0
1	77706227	78033504	3	3	0
1	78034004	79065689	3	3	0
1	79065689	79354890	2	2	0
1	79355390	80789110	3	3	0
1	80789110	81244795	2	2	0
1	81244795	82496600	3	3	0
1	82496600	82823381	2		
1	82823381	83240935	3		
1	83240935	83476944	2		
1	83476944	84057889	3		
1	84057889	84335771	2	2	0
1	84336271	84382593	3	3	0
1	84383093	84417656	2	2	0
1	84417825	84702663	3	3	0
1	84702663	84835223	2	2	0
1	84835223	84902233	3	3	0
1	84902233	85093413	2	2	0
1	85094338	85276810	3	3	0
1	85277310	85483260	2	2	0
1	85483760	85583562	3	3	0
1	85584062	85725400	3	3	0
1	85725900	85787297	2	2	0
1	85787797	85929592	2	2	0
1	85930092	86288705	3	3	0
1	86289205	86374406	2	2	0
1	86375565	86523033	3	2	1
1	86523533	86815772	2	2	0
1	86817529	86851297	3	3	0
1	86851402	86891222	3	3	0
1	86894052	87104709	5	5	0
1	87108210	87200878	3		
1	87201378	87308714	3		
1	87308714	87512065	2	2	0
1	87512065	87572099	3	3	0
1	87572102	88217155	2	2	0
1	88217155	88601022	1		
1	88601022	88765536	2		
1	88765536	88966609	3	3	0
1	88966609	89270632	2	2	0
1	89271191	89300511	3	3	0
1	89302416	89414969	2	2	0
1	89415469	89445495	3	3	0
1	89445497	89449219	3	3	0
1	89449304	89518496	1	1	0
1	89518752	89582149	2	2	0
1	89582649	89652254	3	3	0
1	89652757	90182623	2	2	0
1	90182626	90362793	1	1	0
1	90362793	90457270	2	2	0
1	90457770	90620269	3	3	0
1	90620269	91104791	2		
1	91104791	91402506	3	3	0
1	91403006	91652765	2	2	0
1	91652765	91813131	3	3	0
1	91813631	91845849	8	8	0
1	91846255	91870655	5	5	0
1	91871155	92433884	2	2	0
1	92434384	92467778	3	3	0
1	92470004	92604368	3	3	0
1	92606610	92751535	3	3	0
1	92752035	92767155	2	2	0
1	92769359	92940552	3	3	0
1	92940555	92978408	3	3	0
1	92978733	93186126	3	3	0
1	93186126	93277784	3	3	0
1	93277784	93303287	0	0	0
1	93303787	93309802	2	2	0
1	93310977	93466464	3	3	0
1	93466464	93585027	2	2	0
1	93586124	93615003	3	3	0
1	93615503	93667566	2	2	0
1	93671027	94013021	3	3	0
1	94014805	94033190	2		
1	94033301	94189583	1	1	0
1	94189583	94337787	2	2	0
1	94341214	94391984	3	3	0
1	94391984	94510348	2	2	0
1	94511195	94526382	3	3	0
1	94528158	94638436	2	2	0
1	94638441	94697323	3	3	0
1	94697823	95000957	2	2	0
1	95001457	95155489	2	2	0
1	95155489	95333090	2	2	0
1	95333590	95367433	3	3	0
1	95367468	97544667	2	2	0
1	97547868	98165864	3	3	0
1	98166364	98293783	2	2	0
1	98294283	98404639	1	1	0
1	98404639	99636881	3	3	0
